fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
1,RH2M,anchor_idw_bmd,58450,-0.9817631310233127,5.931291650849702,8.306161764512318,0.8859661825138587,0.7786906376281256,,,,,,
1,RH2M,global_month_hour_bias,58477,-1.1859101632116396,9.131795430076478,12.018400365088313,0.763471956391866,0.5366678860776766,,,,,,
1,RH2M,idw_residual,58477,-1.5803862664123662,6.543299172394,8.91833919690202,0.8728155514688467,0.7448667625566296,,,,,,
1,RH2M,linear_stack,58477,-1.0878537933280978,5.96289832187516,8.21276368003407,0.8875990490399075,0.783639627590693,,,,,,
1,RH2M,ml_regressor,58477,-0.3484090135115503,5.865309001447793,8.30633777128627,0.8831870201449008,0.7786812327590155,,,,,,
2,RH2M,raw_nasa,53933,-2.8366545869875583,10.132284900895556,13.595756213499492,0.7372762159168958,0.40128061811576476,,,,,,
2,RH2M,anchor_idw_bmd,53791,-1.1269199971346384,5.1956081907776746,7.048042542888291,0.9182493993658191,0.8390655044592923,,,,,,
2,RH2M,global_month_hour_bias,53933,-0.2196591397476245,7.9146066743142764,10.372198772016562,0.8250357252779024,0.6515357395563441,,,,,,
2,RH2M,idw_residual,53933,-1.4224168705005047,5.802719652610981,7.972738158299973,0.8978638976585875,0.7941117403564276,,,,,,
2,RH2M,linear_stack,53933,-1.0298204719353279,5.2430520904492335,7.031893026404664,0.9189250946551604,0.839837407146389,,,,,,
2,RH2M,ml_regressor,53933,-1.8451362665656128,5.997435442266972,8.189153950235001,0.8910718137357532,0.782782579799381,,,,,,
3,RH2M,raw_nasa,53308,-2.3345771910407445,9.18351517408269,12.181036683919537,0.7309880668418758,0.4907093082198093,,,,,,
3,RH2M,anchor_idw_bmd,53136,0.01750713267053171,5.212628690320591,7.31882773828277,0.905020748425298,0.8162169364633063,,,,,,
3,RH2M,global_month_hour_bias,53308,0.45938754471595394,8.81702786414572,11.4900211011499,0.7476879359219383,0.5468532296615729,,,,,,
3,RH2M,idw_residual,53308,0.28801930283995303,6.345595670050856,8.710520963449104,0.8685808587725935,0.7395733064098579,,,,,,
3,RH2M,linear_stack,53308,0.1562303556126196,5.380108226618561,7.440937767036091,0.9000476611245648,0.8099566921233685,,,,,,
3,RH2M,ml_regressor,53308,0.9530160972694524,5.367886155712258,7.4379282285618835,0.9018061460824458,0.810110389681836,,,,,,
