station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
sitakunda,10.0,280,141,1845,9422,0.665083135391924,0.8682352941176471,0.1235657546337158,5.04750593824228,0.830082135523614
sitakunda,25.0,43,73,875,10697,0.3706896551724138,0.9531590413943355,0.04339051463168517,7.913793103448276,0.9188911704312115
srimangal,0.1,1179,39,5028,5442,0.9679802955665024,0.8100531657805703,0.18876080691642652,5.096059113300493,0.5664784394250514
srimangal,5.0,382,95,3176,8035,0.80083857442348,0.8926363125351321,0.10457158499863126,7.459119496855346,0.7201403148528405
srimangal,10.0,208,92,2508,8880,0.6933333333333334,0.9234167893961709,0.07407407407407407,9.053333333333333,0.7775496235455168
srimangal,25.0,61,38,1328,10261,0.6161616161616161,0.9560835133189345,0.042747021723896286,14.030303030303031,0.8831279945242985
sydpur,0.1,912,28,4631,6117,0.9702127659574468,0.835468158037164,0.16370490037695207,5.896808510638298,0.6013860369609856
sydpur,5.0,305,53,2645,8685,0.8519553072625698,0.8966101694915254,0.10156510156510157,8.240223463687151,0.7691649555099247
sydpur,10.0,166,59,1967,9496,0.7377777777777778,0.9221753398968588,0.07572992700729927,9.48,0.8266598220396988
sydpur,25.0,41,29,957,10661,0.5857142857142857,0.9589178356713427,0.03992210321324245,14.257142857142858,0.9156399726214921
sylhet,0.1,348,1,6002,5337,0.997134670487106,0.9451968503937008,0.0547945205479452,18.19484240687679,0.4863963039014374
sylhet,5.0,142,27,3512,8007,0.8402366863905325,0.9611384783798577,0.038576473784297745,21.62130177514793,0.6972108145106092
sylhet,10.0,76,30,2797,8785,0.7169811320754716,0.9735468151757745,0.026179813985532208,27.10377358490566,0.7581279945242985
sylhet,25.0,30,18,1728,9912,0.625,0.9829351535836177,0.016891891891891893,36.625,0.8506160164271047
tangail,0.1,941,33,5240,5474,0.9661190965092402,0.8477592622552985,0.15143224975860958,6.34599589322382,0.5488535249828884
tangail,5.0,309,69,2843,8467,0.8174603174603174,0.9019670050761421,0.09593294008072027,8.338624338624339,0.7508555783709788
tangail,10.0,158,56,1951,9523,0.7383177570093458,0.9250829777145566,0.07297921478060046,9.855140186915888,0.8282854209445585
tangail,25.0,43,36,887,10722,0.5443037974683544,0.953763440860215,0.044513457556935816,11.772151898734178,0.9210301163586585
teknaf,0.1,921,6,6134,4627,0.9935275080906149,0.8694542877391921,0.13043478260869565,7.610571736785329,0.47467488021902804
teknaf,5.0,362,26,4032,7268,0.9329896907216495,0.9176149294492489,0.08190045248868778,11.324742268041238,0.6528062970568104
teknaf,10.0,151,15,3193,8329,0.9096385542168675,0.9548444976076556,0.044953855314081574,20.14457831325301,0.7255304585900069
teknaf,25.0,29,9,1636,10014,0.7631578947368421,0.9825825825825826,0.017323775388291517,43.81578947368421,0.8592573579739904
